recency,frequency,monetary
545,1,11.77
534,2,89.0
33,4,156.46
200,2,100.5
178,4,385.61
545,1,20.99
100,3,264.67
93,4,197.66
22,1,95.85
525,1,39.31
130,1,58.55
545,1,57.06
545,1,72.94
545,1,29.92
545,1,52.87
293,3,79.87
545,1,73.22
542,1,14.96
385,2,175.12
528,2,653.01
533,2,75.11
545,1,14.37
545,1,24.74
161,2,57.77
22,3,137.53
520,1,102.69
534,2,135.87
479,2,90.99
65,4,435.81
501,1,28.34
36,2,177.05
111,2,78.21
109,5,1045.47
545,1,23.14
276,2,42.22
512,2,49.68
48,3,155.68
545,1,12.49
111,3,221.45
114,4,318.94
545,1,17.99
544,2,38.32
37,2,117.32
376,2,59.65
545,1,14.37
230,3,315.87
24,3,427.8
17,4,649.93
545,1,27.94
545,1,6.79
211,4,367.38
53,4,445.68
57,1,86.21
545,1,33.96
536,2,81.45
195,3,129.19
545,1,57.86
545,1,20.99
521,1,36.53
514,1,21.75
545,1,155.65
244,3,237.15
40,2,120.91
5,4,367.37
100,2,68.74
545,1,39.99
529,2,71.49
545,1,40.36
542,2,217.08
545,1,72.23
545,1,13.97
545,1,11.99
471,3,94.57
545,1,41.99
545,1,69.81
545,1,9.99
545,1,12.97
68,2,95.26
545,1,77.44
545,1,43.46
276,4,430.69
81,2,242.8
73,2,101.68
545,1,13.97
543,1,26.31
545,1,23.94
265,3,206.55
251,2,34.97
20,4,571.88
538,1,24.67
545,1,32.54
440,2,53.34
543,2,219.33
544,1,44.1
6,8,1515.27
3,7,1445.99
94,3,324.75
403,1,76.46
196,4,267.25
71,2,55.24
528,1,23.54
121,2,157.47
74,3,110.49
545,1,14.96
545,1,35.31
150,3,202.1
545,1,21.99
545,1,17.96
513,2,204.46
545,1,27.94
10,4,1107.04
510,1,23.54
115,2,59.67
139,2,124.93
545,1,13.97
545,1,12.77
103,2,58.97
371,2,73.85
545,1,41.69
194,1,103.51
545,1,12.49
545,1,27.74
545,1,31.99
200,1,138.35
22,3,108.64
210,2,302.75
545,1,39.71
331,3,67.86
545,1,12.49
62,2,120.95
545,1,30.32
50,4,302.43
231,3,199.17
173,1,49.38
545,1,84.39
216,1,81.96
545,1,27.73
545,1,14.99
540,1,11.77
423,1,44.06
54,2,147.75
80,2,122.39
545,1,41.48
545,1,30.72
31,4,521.96
545,1,13.97
199,5,288.07
101,3,146.44
522,1,106.54
545,1,15.36
545,1,13.97
163,3,243.96
545,1,6.79
65,1,69.19
545,1,23.99
545,1,10.77
489,2,80.21
545,1,43.05
545,1,19.75
545,1,19.74
29,4,416.91
545,1,119.54
545,1,25.74
1,3,245.59
29,2,34.75
34,3,173.18
202,2,186.46
545,1,14.96
545,1,11.77
154,2,74.39
545,1,14.96
545,1,50.95
88,2,49.83
540,1,36.73
545,1,27.77
545,1,11.77
48,3,570.08
545,1,12.49
126,2,174.03
306,2,62.59
545,1,43.7
43,2,91.72
545,1,9.99
43,1,31.87
39,3,115.19
286,1,34.45
513,2,36.11
545,1,13.77
545,1,294.03
545,1,15.36
541,1,70.23
333,3,160.23
545,1,27.94
535,2,255.78
161,2,113.79
545,1,25.54
421,1,53.97
545,1,15.76
545,1,14.37
524,2,84.29
63,1,73.3
544,2,146.46
341,1,63.83
531,1,72.23
205,2,102.07
545,1,17.99
226,2,94.26
129,1,133.63
472,3,116.17
96,2,86.03
545,1,7.78
545,1,14.37
527,1,22.54
252,3,222.22
545,1,11.77
545,1,13.97
28,3,195.92
509,1,57.48
409,1,74.02
545,1,57.85
545,1,12.49
243,2,86.33
545,1,47.93
545,1,28.33
333,3,105.61
56,3,170.12
310,2,164.58
175,3,339.79
3,2,83.49
389,1,79.96
545,1,69.04
545,1,42.98
545,1,12.99
511,1,23.96
545,1,7.98
545,1,16.7
545,1,23.54
338,4,305.19
545,1,28.74
479,1,30.95
52,2,100.55
529,2,65.43
544,1,17.96
20,10,1287.41
19,3,148.75
10,5,750.18
49,2,94.15
544,1,14.37
496,2,92.28
311,2,104.57
544,1,40.26
20,4,348.26
544,1,13.97
544,1,15.96
544,1,11.77
442,2,79.58
82,1,55.75
544,1,59.97
544,1,14.79
541,1,57.27
544,1,8.77
544,1,48.95
544,1,14.79
544,1,16.99
495,2,135.6
519,2,99.28
544,1,37.47
463,1,7.78
500,1,29.99
522,2,269.17
544,1,12.77
451,2,38.71
462,1,21.75
544,1,5.78
544,1,60.47
29,3,118.35
113,1,31.89
544,1,23.97
320,2,139.81
428,3,256.45
544,1,14.7
544,1,53.88
544,1,37.71
544,1,20.0
544,1,25.99
533,2,87.27
544,1,13.97
424,1,28.93
507,1,20.54
544,1,49.98
544,1,199.15
174,2,65.88
102,2,173.78
221,1,27.36
95,4,386.58
544,1,25.53
544,1,14.96
544,1,68.04
236,1,22.76
4,3,538.43
231,3,173.38
544,1,27.13
544,1,10.77
399,2,113.34
237,2,152.27
544,1,30.99
488,1,28.45
544,1,12.77
471,1,52.5
539,1,39.32
544,1,69.25
191,2,102.73
37,12,2432.29
533,3,231.13
472,2,88.86
334,2,72.23
144,4,231.15
169,2,64.49
539,2,41.69
544,1,9.99
544,1,103.05
360,2,52.33
8,5,412.75
276,2,59.01
544,1,72.82
544,1,14.37
544,1,40.7
0,3,692.62
123,2,93.97
544,1,14.96
544,1,16.36
544,1,15.36
544,1,15.9
544,1,40.11
540,1,26.73
544,1,11.77
61,2,38.03
544,1,25.74
221,4,411.84
544,1,46.3
338,2,106.6
544,1,17.9
240,4,177.43
36,5,580.12
242,2,90.25
544,1,26.76
544,1,15.36
339,2,97.52
544,1,44.88
544,1,46.37
544,1,8.77
510,1,16.76
503,1,69.23
544,1,14.99
539,1,82.81
544,1,28.74
510,2,91.45
55,3,118.92
544,1,76.45
36,2,102.75
128,2,37.73
544,1,58.0
543,1,36.96
540,1,29.97
100,3,297.8
544,1,15.36
544,1,44.77
267,2,135.58
544,1,7.98
190,4,193.89
200,2,35.47
434,1,36.73
176,3,262.18
16,4,247.82
324,2,107.41
18,3,90.81
544,1,38.5
512,1,29.8
513,2,89.85
542,1,47.08
356,1,50.41
544,1,12.49
544,1,30.72
544,1,11.97
373,1,21.78
544,1,18.99
25,7,841.13
544,1,10.77
24,6,571.76
542,1,15.36
543,1,32.0
544,1,58.91
544,1,29.16
528,2,56.75
544,1,26.99
29,4,260.62
425,2,104.63
0,9,1556.34
510,1,62.32
107,2,151.76
544,1,41.74
542,1,24.74
544,1,11.77
71,2,139.18
